[00:15:32.3449740][INFO/main.cpp:159] Yim's Menu Initializing
[00:15:32.3453991][INFO/main.cpp:160] Git Info
	Branch:	master
	Hash:	d737c01b333f349ff9d4803784fee1051ee93cb9
	Date:	Tue Feb 20 18:29:02 2024
[00:15:32.3455520][INFO/main.cpp:172] Windows 10 Home Version 22H2 (OS Build 19045.4239)
[00:15:32.3513454][DEBUG/thread_pool.cpp:22] Resizing thread pool from 0 to 4
[00:15:32.3515613][INFO/main.cpp:180] Thread pool initialized.
[00:15:32.3677179][WARN/settings.cpp:55] Detected corrupt settings, writing default config...
[00:15:32.3849063][INFO/main.cpp:183] Settings Loaded.
[00:15:32.3849111][DEBUG/thread_pool.cpp:96] Thread 17668 executing settings.cpp:12
[00:15:32.4006186][INFO/batch.hpp:106] Found 'ISA' GTA5.exe+0xF193
[00:15:32.4010358][INFO/batch.hpp:106] Found 'SR' GTA5.exe+0x16C993
[00:15:32.4025885][INFO/batch.hpp:106] Found 'GS' GTA5.exe+0x2C66D4
[00:15:32.4041176][INFO/batch.hpp:106] Found 'GL' GTA5.exe+0x6D9020
[00:15:32.4045467][INFO/batch.hpp:106] Found 'SGL' GTA5.exe+0x6D9014
[00:15:32.4047698][INFO/batch.hpp:106] Found 'PF' GTA5.exe+0x73508C
[00:15:32.4160169][INFO/batch.hpp:106] Found 'NPM' GTA5.exe+0x10B1B94
[00:15:32.4169065][INFO/batch.hpp:106] Found 'SP' GTA5.exe+0xA4B929
[00:15:32.4172562][INFO/batch.hpp:106] Found 'FV' GTA5.exe+0x161DBA0
[00:15:32.4172739][INFO/batch.hpp:106] Found 'ST' GTA5.exe+0x1620B6F
[00:15:32.4176726][INFO/batch.hpp:106] Found 'NRF' GTA5.exe+0x1BB87
[00:15:32.4227511][INFO/batch.hpp:106] Found 'SG' GTA5.exe+0x16204C0
[00:15:32.4250187][INFO/batch.hpp:106] Found 'S' GTA5.exe+0x138E3D9
[00:15:32.4260187][INFO/batch.hpp:106] Found 'GTS' GTA5.exe+0x1620688
[00:15:32.4263723][INFO/batch.hpp:106] Found 'OQ' GTA5.exe+0x5703BE
[00:15:32.4269298][INFO/batch.hpp:106] Found 'TSE' GTA5.exe+0xD93FFC
[00:15:32.4297379][INFO/batch.hpp:106] Found 'NH' GTA5.exe+0x1620C19
[00:15:32.4315105][INFO/batch.hpp:106] Found 'CGSHM' GTA5.exe+0x16254D9
[00:15:32.4323553][INFO/batch.hpp:106] Found 'TK' GTA5.exe+0xA4FA1C
[00:15:32.4346065][INFO/batch.hpp:106] Found 'RBWD' GTA5.exe+0x10DD39D
[00:15:32.4353249][INFO/batch.hpp:106] Found 'RBS' GTA5.exe+0x132C5EC
[00:15:32.4406066][INFO/batch.hpp:106] Found 'RBA' GTA5.exe+0x132C2C8
[00:15:32.4408072][INFO/batch.hpp:106] Found 'WBD' GTA5.exe+0x13E6874
[00:15:32.4427853][INFO/batch.hpp:106] Found 'WBQ' GTA5.exe+0x1334130
[00:15:32.4465314][INFO/batch.hpp:106] Found 'RBB' GTA5.exe+0x6705A8
[00:15:32.4492818][INFO/batch.hpp:106] Found 'RC' GTA5.exe+0x146419C
[00:15:32.4493988][INFO/batch.hpp:106] Found 'SEA' GTA5.exe+0x16DAE99
[00:15:32.4571707][INFO/batch.hpp:106] Found 'WPGSDN' GTA5.exe+0x1184050
[00:15:32.4579880][INFO/batch.hpp:106] Found 'WBI64' GTA5.exe+0x1134B35
[00:15:32.4641056][INFO/batch.hpp:106] Found 'PTH' GTA5.exe+0x1624F95
[00:15:32.4672861][INFO/batch.hpp:106] Found 'NPMI' GTA5.exe+0x118EE4F
[00:15:32.4679462][INFO/batch.hpp:106] Found 'GSH' GTA5.exe+0x162643C
[00:15:32.4699844][INFO/batch.hpp:106] Found 'CNOM' GTA5.exe+0xB299F0
[00:15:32.4705792][INFO/batch.hpp:106] Found 'WBI32' GTA5.exe+0x11339F7
[00:15:32.4773695][INFO/batch.hpp:106] Found 'GSCFWC' GTA5.exe+0xA4AA9C
[00:15:32.4786475][INFO/batch.hpp:106] Found 'GPR' GTA5.exe+0x114F69C
[00:15:32.4879055][INFO/batch.hpp:106] Found 'WBA' GTA5.exe+0x16C169A
[00:15:32.4889399][INFO/batch.hpp:106] Found 'WBB' GTA5.exe+0x11334F8
[00:15:32.4895122][INFO/batch.hpp:106] Found 'RNM' GTA5.exe+0x13FCF95
[00:15:32.4997529][INFO/batch.hpp:106] Found 'API' GTA5.exe+0x16DD5B8
[00:15:32.5010785][INFO/batch.hpp:106] Found 'FR' GTA5.exe+0xCEAB78
[00:15:32.5033018][INFO/batch.hpp:106] Found 'GNED' GTA5.exe+0x1A30070
[00:15:32.5043391][INFO/batch.hpp:106] Found 'GGCC' GTA5.exe+0xA7FCDA
[00:15:32.5051774][INFO/batch.hpp:106] Found 'MHT' GTA5.exe+0xB4CE
[00:15:32.5063953][INFO/batch.hpp:106] Found 'RCC' GTA5.exe+0x11996E0
[00:15:32.5068407][INFO/batch.hpp:106] Found 'RCS/GSTFT/GNOFP/GNO/GSTI' GTA5.exe+0x119A67C
[00:15:32.5074582][INFO/batch.hpp:106] Found 'WPGDN' GTA5.exe+0x1184B98
[00:15:32.5077320][INFO/batch.hpp:106] Found 'NPMS' GTA5.exe+0x11C3AD2
[00:15:32.5164100][INFO/batch.hpp:106] Found 'GLT' GTA5.exe+0xDB678F
[00:15:32.5183660][INFO/batch.hpp:106] Found 'REH' GTA5.exe+0x16D720C
[00:15:32.5213252][INFO/batch.hpp:106] Found 'CAD' GTA5.exe+0x1199F7E
[00:15:32.5222623][INFO/batch.hpp:106] Found 'RBIST' GTA5.exe+0x1199860
[00:15:32.5299055][INFO/batch.hpp:106] Found 'MCF' GTA5.exe+0x169AD6E
[00:15:32.5301577][INFO/batch.hpp:106] Found 'FPFC' GTA5.exe+0x131C552
[00:15:32.5326644][INFO/batch.hpp:106] Found 'SCP' GTA5.exe+0x2F5104
[00:15:32.5339126][INFO/batch.hpp:106] Found 'FDGD' GTA5.exe+0x131FB9B
[00:15:32.5360475][INFO/batch.hpp:106] Found 'IMCD' GTA5.exe+0x53F00D
[00:15:32.5376381][INFO/batch.hpp:106] Found 'FPFD' GTA5.exe+0x131C7BC
[00:15:32.5384965][INFO/batch.hpp:106] Found 'FPU&FPCA&FPOA&FPM' GTA5.exe+0x806092
[00:15:32.5396623][INFO/batch.hpp:106] Found 'GGOS' GTA5.exe+0x14640B4
[00:15:32.5418134][INFO/batch.hpp:106] Found 'SGSBGH' GTA5.exe+0x443D7C
